,value,variable,date
0,0.0,1995,3/16
1,0.0,1995,3/17
2,0.0,1995,3/18
3,0.0,1995,3/19
4,0.0,1995,3/20
5,0.0,1995,3/21
6,0.0,1995,3/22
7,0.0,1995,3/23
8,0.0,1995,3/24
9,0.0,1995,3/25
10,0.0,1995,3/26
11,0.0,1995,3/27
12,0.0,1995,3/28
13,0.0,1995,3/29
14,0.0,1995,3/30
15,0.0,1995,3/31
16,0.0,1995,4/1
17,0.0,1995,4/2
18,0.0,1995,4/3
19,0.0,1995,4/4
20,0.0,1995,4/5
21,0.0,1995,4/6
22,0.0,1995,4/7
23,0.0,1995,4/8
24,0.0,1995,4/9
25,0.0,1995,4/10
26,0.0,1995,4/11
27,0.0,1995,4/12
28,0.0,1995,4/13
29,0.0,1995,4/14
30,0.0,1995,4/15
31,0.0,1995,4/16
32,0.0,1995,4/17
33,0.0,1995,4/18
34,0.0,1995,4/19
35,0.0,1995,4/20
36,0.0,1995,4/21
37,0.0,1995,4/22
38,0.0,1995,4/23
39,0.0,1995,4/24
40,0.08333333333333333,1995,4/25
41,0.5079680626286325,1995,4/26
42,0.7847167827772514,1995,4/27
43,0.9879497278624371,1995,4/28
44,1.1035940721023627,1995,4/29
45,1.0067510806196387,1995,4/30
46,1.2204951545033096,1995,5/1
47,1.391486338818142,1995,5/2
48,1.7059795357478915,1995,5/3
49,1.686950838924557,1995,5/4
50,1.6940780823243677,1995,5/5
51,1.6674167384371998,1995,5/6
52,1.7742465993015495,1995,5/7
53,1.7522671447347202,1995,5/8
54,1.7706803316597204,1995,5/9
55,1.9658194610022963,1995,5/10
56,1.9499311378560507,1995,5/11
57,2.1889534490384945,1995,5/12
58,2.1708127952243212,1995,5/13
59,2.3323626801322437,1995,5/14
60,2.108420243945148,1995,5/15
61,2.1841659620139904,1995,5/16
62,2.0643901715482147,1995,5/17
63,2.063880548098436,1995,5/18
64,2.1385136156113993,1995,5/19
65,2.3060887051310903,1995,5/20
66,2.4953834280086653,1995,5/21
67,2.548693843358126,1995,5/22
68,2.714782102700467,1995,5/23
69,2.820950042916827,1995,5/24
70,2.6797840321304953,1995,5/25
71,2.792176845165075,1995,5/26
72,2.796051547816068,1995,5/27
73,2.98887966750325,1995,5/28
74,3.103835387755865,1995,5/29
75,3.2929802155336425,1995,5/30
76,3.3865547156231437,1995,5/31
77,3.4214411241734677,1995,6/1
78,3.6066151084922127,1995,6/2
79,3.7913820447025013,1995,6/3
80,3.940991556406095,1995,6/4
81,3.902825588349812,1995,6/5
82,3.9563808939494916,1995,6/6
83,4.060190432495978,1995,6/7
84,4.108280619723927,1995,6/8
85,4.307687253783347,1995,6/9
86,4.217768031484463,1995,6/10
87,4.360976605446025,1995,6/11
88,4.529577756776928,1995,6/12
89,4.658203466755011,1995,6/13
90,4.557576199613353,1995,6/14
91,4.6049754333078186,1995,6/15
92,4.530596700375263,1995,6/16
93,4.583701067422045,1995,6/17
94,4.6337049161907276,1995,6/18
95,4.500037652097856,1995,6/19
96,4.494427105046287,1995,6/20
97,4.602525574807838,1995,6/21
98,4.7428330045530505,1995,6/22
99,4.56529617765075,1995,6/23
100,4.654883266125169,1995,6/24
101,4.714220208775999,1995,6/25
102,4.695513809508166,1995,6/26
103,4.782624174869328,1995,6/27
104,4.801293128809077,1995,6/28
105,4.890613536715728,1995,6/29
106,4.831713492933534,1995,6/30
107,4.821693890339827,1995,7/1
108,4.951808140929165,1995,7/2
109,5.0971222259628695,1995,7/3
110,5.223299464666186,1995,7/4
111,5.1943630849815365,1995,7/5
112,5.4244941366680335,1995,7/6
113,5.54708923104942,1995,7/7
114,5.6042772930030464,1995,7/8
115,5.654134045198561,1995,7/9
116,5.654134045198561,1995,7/10
117,5.654134045198561,1995,7/11
118,5.51222221368828,1995,7/12
119,5.5106582040641605,1995,7/13
120,5.684572429649645,1995,7/14
121,5.834191209695088,1995,7/15
122,5.771756959136791,1995,7/16
123,5.671694674037128,1995,7/17
124,5.6443678565592705,1995,7/18
125,5.829511374855393,1995,7/19
126,5.998630910915104,1995,7/20
127,6.001827909231635,1995,7/21
128,6.109425621591953,1995,7/22
129,6.395229746203125,1995,7/23
130,6.571471178573515,1995,7/24
131,6.5372834901753185,1995,7/25
132,6.617621318142855,1995,7/26
133,6.586391159818121,1995,7/27
134,6.744502906893981,1995,7/28
135,6.871346653585533,1995,7/29
136,6.881221271156217,1995,7/30
137,6.801614268199146,1995,7/31
138,6.838310934341693,1995,8/1
139,6.99038734833712,1995,8/2
140,7.1118440662323765,1995,8/3
141,7.350818501520931,1995,8/4
142,7.581373305937698,1995,8/5
143,7.428652287437392,1995,8/6
144,7.567727373272404,1995,8/7
145,7.603836043762048,1995,8/8
146,7.619699635521588,1995,8/9
147,7.617973166185949,1995,8/10
148,7.760591281640952,1995,8/11
149,7.765023645442558,1995,8/12
150,7.939328627168886,1995,8/13
151,8.119144988630051,1995,8/14
152,8.173256933702431,1995,8/15
153,8.141816966326848,1995,8/16
154,8.20338017653548,1995,8/17
155,8.084050932844834,1995,8/18
156,8.115533039156853,1995,8/19
157,8.284134662435713,1995,8/20
158,8.324487042297688,1995,8/21
159,8.171527230281656,1995,8/22
160,8.36150177492419,1995,8/23
161,8.375817439726928,1995,8/24
162,8.359500597964493,1995,8/25
163,8.29207836354611,1995,8/26
164,8.485432138174831,1995,8/27
165,8.54681284558137,1995,8/28
166,8.375524793504477,1995,8/29
167,8.25793023746038,1995,8/30
168,8.31841396965782,1995,8/31
169,8.311446991191085,1995,9/1
170,8.170470988178895,1995,9/2
171,8.285032228364328,1995,9/3
172,8.311989423921867,1995,9/4
173,8.422440420997019,1995,9/5
174,8.556400663809837,1995,9/6
175,8.533041663784976,1995,9/7
176,8.671381075617122,1995,9/8
177,8.762078332046402,1995,9/9
178,8.738916240047342,1995,9/10
179,8.756637706612718,1995,9/11
180,8.788209891312283,1995,9/12
181,8.818686407974985,1995,9/13
182,8.918297263677488,1995,9/14
183,8.976374799458656,1995,9/15
184,8.949497059144184,1995,9/16
185,8.867445800661317,1995,9/17
186,9.00773736547916,1995,9/18
187,8.831364755982595,1995,9/19
188,8.917870962580107,1995,9/20
189,8.804944713875663,1995,9/21
190,9.045691966745247,1995,9/22
191,9.151284056743883,1995,9/23
192,9.3262899116839,1995,9/24
193,9.23710048719377,1995,9/25
194,9.396591558844639,1995,9/26
195,9.450692591029394,1995,9/27
196,9.652943343549572,1995,9/28
197,9.775612057232278,1995,9/29
198,9.933722450938237,1995,9/30
199,10.117200438482705,1995,10/1
200,10.160297784154638,1995,10/2
201,10.160297784154638,1995,10/3
202,10.160297784154638,1995,10/4
203,10.160297784154638,1995,10/5
204,10.160297784154638,1995,10/6
205,10.160297784154638,1995,10/7
206,10.160297784154638,1995,10/8
207,10.160297784154638,1995,10/9
208,10.160297784154638,1995,10/10
209,10.160297784154638,1995,10/31
210,0.0,1996,3/16
211,0.0,1996,3/17
212,0.0,1996,3/18
213,0.0,1996,3/19
214,0.0,1996,3/20
215,0.0,1996,3/21
216,0.0,1996,3/22
217,0.0,1996,3/23
218,0.0,1996,3/24
219,0.0,1996,3/25
220,0.0,1996,3/26
221,0.0,1996,3/27
222,0.0,1996,3/28
223,0.0,1996,3/29
224,0.0,1996,3/30
225,0.08333333333333333,1996,3/31
226,0.5112037625333125,1996,4/1
227,0.6307571447738003,1996,4/2
228,0.7405572773303405,1996,4/3
229,0.703005957214223,1996,4/4
230,0.828095985460379,1996,4/5
231,0.8614994492365281,1996,4/6
232,1.0544654576448922,1996,4/7
233,1.1596648429527467,1996,4/8
234,1.1450377580572313,1996,4/9
235,1.192454783700357,1996,4/10
236,1.2319747557935083,1996,4/11
237,1.173439560924767,1996,4/12
238,1.3340638791846056,1996,4/13
239,1.3778359054948996,1996,4/14
240,1.4456482483581918,1996,4/15
241,1.6976045694023625,1996,4/16
242,1.8488418257139425,1996,4/17
243,1.804377490295946,1996,4/18
244,1.8948462150398429,1996,4/19
245,2.0315594505264944,1996,4/20
246,2.136153672791608,1996,4/21
247,2.058939574495151,1996,4/22
248,1.9873351016912073,1996,4/23
249,2.051426984646788,1996,4/24
250,2.057309690219978,1996,4/25
251,2.2498996709310592,1996,4/26
252,2.157622037916604,1996,4/27
253,2.2630366920281952,1996,4/28
254,2.3776038159104274,1996,4/29
255,2.3699555386337408,1996,4/30
256,2.520333304985225,1996,5/1
257,2.5760126683018076,1996,5/2
258,2.6130707313777197,1996,5/3
259,2.54738060962888,1996,5/4
260,2.764618166251527,1996,5/5
261,2.744860682008412,1996,5/6
262,2.710489741474442,1996,5/7
263,2.9409647319905705,1996,5/8
264,2.921459561846581,1996,5/9
265,2.8665436498460064,1996,5/10
266,2.9854175882904763,1996,5/11
267,3.009210575477122,1996,5/12
268,3.2721382084391095,1996,5/13
269,3.5048041673401897,1996,5/14
270,3.5554405692653823,1996,5/15
271,3.5345303693035817,1996,5/16
272,3.7438299823349723,1996,5/17
