,deviation,year,date
0,-,1995,3/16
1,-,1995,3/17
2,-,1995,3/18
3,-,1995,3/19
4,-,1995,3/20
5,-,1995,3/21
6,-,1995,3/22
7,-,1995,3/23
8,-,1995,3/24
9,-,1995,3/25
10,-,1995,3/26
11,-,1995,3/27
12,-,1995,3/28
13,-,1995,3/29
14,-,1995,3/30
15,-,1995,3/31
16,-,1995,4/1
17,-,1995,4/2
18,-,1995,4/3
19,-,1995,4/4
20,-,1995,4/5
21,-,1995,4/6
22,-,1995,4/7
23,-,1995,4/8
24,-,1995,4/9
25,-,1995,4/10
26,-,1995,4/11
27,-,1995,4/12
28,-,1995,4/13
29,-,1995,4/14
30,-,1995,4/15
31,-,1995,4/16
32,-,1995,4/17
33,-,1995,4/18
34,-,1995,4/19
35,-,1995,4/20
36,-,1995,4/21
37,-,1995,4/22
38,-,1995,4/23
39,-,1995,4/24
40,0.08333333333,1995,4/25
41,0.5079680626,1995,4/26
42,0.7847167828,1995,4/27
43,0.9879497279,1995,4/28
44,1.103594072,1995,4/29
45,1.006751081,1995,4/30
46,1.220495155,1995,5/1
47,1.391486339,1995,5/2
48,1.705979536,1995,5/3
49,1.686950839,1995,5/4
50,1.694078082,1995,5/5
51,1.667416738,1995,5/6
52,1.774246599,1995,5/7
53,1.752267145,1995,5/8
54,1.770680332,1995,5/9
55,1.965819461,1995,5/10
56,1.949931138,1995,5/11
57,2.188953449,1995,5/12
58,2.170812795,1995,5/13
59,2.33236268,1995,5/14
60,2.108420244,1995,5/15
61,2.184165962,1995,5/16
62,2.064390172,1995,5/17
63,2.063880548,1995,5/18
64,2.138513616,1995,5/19
65,2.306088705,1995,5/20
66,2.495383428,1995,5/21
67,2.548693843,1995,5/22
68,2.714782103,1995,5/23
69,2.820950043,1995,5/24
70,2.679784032,1995,5/25
71,2.792176845,1995,5/26
72,2.796051548,1995,5/27
73,2.988879668,1995,5/28
74,3.103835388,1995,5/29
75,3.292980216,1995,5/30
76,3.386554716,1995,5/31
77,3.421441124,1995,6/1
78,3.606615108,1995,6/2
79,3.791382045,1995,6/3
80,3.940991556,1995,6/4
81,3.902825588,1995,6/5
82,3.956380894,1995,6/6
83,4.060190432,1995,6/7
84,4.10828062,1995,6/8
85,4.307687254,1995,6/9
86,4.217768031,1995,6/10
87,4.360976605,1995,6/11
88,4.529577757,1995,6/12
89,4.658203467,1995,6/13
90,4.5575762,1995,6/14
91,4.604975433,1995,6/15
92,4.5305967,1995,6/16
93,4.583701067,1995,6/17
94,4.633704916,1995,6/18
95,4.500037652,1995,6/19
96,4.494427105,1995,6/20
97,4.602525575,1995,6/21
98,4.742833005,1995,6/22
99,4.565296178,1995,6/23
100,4.654883266,1995,6/24
101,4.714220209,1995,6/25
102,4.69551381,1995,6/26
103,4.782624175,1995,6/27
104,4.801293129,1995,6/28
105,4.890613537,1995,6/29
106,4.831713493,1995,6/30
107,4.82169389,1995,7/1
108,4.951808141,1995,7/2
109,5.097122226,1995,7/3
110,5.223299465,1995,7/4
111,5.194363085,1995,7/5
112,5.424494137,1995,7/6
113,5.547089231,1995,7/7
114,5.604277293,1995,7/8
115,5.654134045,1995,7/9
116,5.654134045,1995,7/10
117,5.654134045,1995,7/11
118,5.512222214,1995,7/12
119,5.510658204,1995,7/13
120,5.68457243,1995,7/14
121,5.83419121,1995,7/15
122,5.771756959,1995,7/16
123,5.671694674,1995,7/17
124,5.644367857,1995,7/18
125,5.829511375,1995,7/19
126,5.998630911,1995,7/20
127,6.001827909,1995,7/21
128,6.109425622,1995,7/22
129,6.395229746,1995,7/23
130,6.571471179,1995,7/24
131,6.53728349,1995,7/25
132,6.617621318,1995,7/26
133,6.58639116,1995,7/27
134,6.744502907,1995,7/28
135,6.871346654,1995,7/29
136,6.881221271,1995,7/30
137,6.801614268,1995,7/31
138,6.838310934,1995,8/1
139,6.990387348,1995,8/2
140,7.111844066,1995,8/3
141,7.350818502,1995,8/4
142,7.581373306,1995,8/5
143,7.428652287,1995,8/6
144,7.567727373,1995,8/7
145,7.603836044,1995,8/8
146,7.619699636,1995,8/9
147,7.617973166,1995,8/10
148,7.760591282,1995,8/11
149,7.765023645,1995,8/12
150,7.939328627,1995,8/13
151,8.119144989,1995,8/14
152,8.173256934,1995,8/15
153,8.141816966,1995,8/16
154,8.203380177,1995,8/17
155,8.084050933,1995,8/18
156,8.115533039,1995,8/19
157,8.284134662,1995,8/20
158,8.324487042,1995,8/21
159,8.17152723,1995,8/22
160,8.361501775,1995,8/23
161,8.37581744,1995,8/24
162,8.359500598,1995,8/25
163,8.292078364,1995,8/26
164,8.485432138,1995,8/27
165,8.546812846,1995,8/28
166,8.375524794,1995,8/29
167,8.257930237,1995,8/30
168,8.31841397,1995,8/31
